 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Fiscal Year 2025 General Budget [FINAL],,,,,,,,,,
ASUC Chief Financial Officer: Catherine Park,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Chartered Programs and Commissions,,,,,,,,,,
Organization,Sponsorship Category,,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
GENup Collegiate at Berkeley,Student Activity Group (SAG),1,321245,34020557600000,,,,,$500,$500
GeoWall at Berkeley,Student Activity Group (SAG),1,290340,34020506400000,,,,,SPONSORSHIP ONLY (ABSA),$0
Girl Up at Berkeley,Student Activity Group (SAG),3,92014,34020296000000,,,,,$650,$650
Glamity at Berkeley,Student Activity Group (SAG),1,376133,34020607600000,,,,,$450,$450
GlamourGals at Berkeley,Student Activity Group (SAG),1,377198,34020591200000,,,,,$500,$500
Haas Finance Group (HFG),Student Activity Group (SAG),1,378619,34020608000000,,,,,$500,$500
Haas Undergraduate Black Business Association,Student Activity Group (SAG),7,46300,34020121200000,,,,,$585,$585
Hackathons at Berkeley (formerly Hack the Bay),Student Activity Group (SAG),2,123010,34020495600000,,,,,SPONSORSHIP ONLY (ABSA),$0
Healthcare Business Association at Berkeley,Student Activity Group (SAG),1,290345,34020464800000,,,,,$500,$500
Healthcare Consulting Group at Berkeley,Student Activity Group (SAG),6,221241,34020431600000,,,,,$630,$630
Hermanas Unidas de UC Berkeley,Student Activity Group (SAG),2,46141,34020124400000,,,,,$650,$650
"Hindu YUVA-Youth for Unity, Virtues and Action",Student Activity Group (SAG),2,91523,34020566000000,,,,,$650,$650
Hispanic Engineers and Scientists,Student Activity Group (SAG),9,46147,34020126000000,,,,,$585,$585
Historical Fencing Club of Berkeley,Student Activity Group (SAG),6,46714,34020420400000,,,,,"$2,200","$2,200"
Hong Kong Student Association,Student Activity Group (SAG),30,45965,34020127200000,,,,,"$1,800","$1,800"
HOSA Future Health Professionals of Berkeley,Student Activity Group (SAG),1,290346,34020608400000,,,,,$500,$500
iGEM at Berkeley,Student Activity Group (SAG),6,235895,34020432000000,,,,,SPONSORSHIP ONLY (ABSA),$0
Indian Students Association,Student Activity Group (SAG),21,45966,34020130400000,,,,,"$9,600","$9,600"
Institute of Industrial and Systems Engineers,Student Activity Group (SAG),1,91280,34020293600000,,,,,$500,$500
"Intermission Orchestra, The",Student Activity Group (SAG),6,91332,34020385600000,,,,,"$2,250","$2,250"
International Consulting Club at Berkeley,Student Activity Group (SAG),3,289736,34020538000000,,,,,$650,$650
International Healthcare Association,Student Activity Group (SAG),5,325447,34020494000000,,,,,$650,$650
InterVarsity Christian Fellowship,Student Activity Group (SAG),26,45974,34020137600000,,,,,"$5,850","$5,850"
Invention Corps of Berkeley,Student Activity Group (SAG),5,164469,34020360000000,,,,,"$1,500","$1,500"
Iranian Students Cultural Organization,Student Activity Group (SAG),26,45976,34020139200000,,,,,"$14,000","$14,000"
Jakara Movement Club,Student Activity Group (SAG),7,144722,34020326000000,,,,,$500,$500
Jewish Voice for Peace at Berkeley,Student Activity Group (SAG),1,221473,34020430800000,,,,,$225,$225
JFashion at Berkeley,Student Activity Group (SAG),1,385044,34020608800000,,,,,$350,$350
Jugger at Berkeley,Student Activity Group (SAG),7,123317,34020142400000,,,,,"$2,210","$2,210"
Kairos Dance Co.,Student Activity Group (SAG),3,91918,34020527600000,,,,,$585,$585
Kappa Alpha Pi Pre-Law Fraternity ,Student Activity Group (SAG),9,91348,34020144400000,,,,,SPONSORSHIP ONLY (ABSA),$0
Kappa Gamma Delta,Student Activity Group (SAG),12,45983,34020144800000,,,,,"$1,350","$1,350"
Keebs at Berkeley,Student Activity Group (SAG),2,362003,34020589600000,,,,,$585,$585
Kendo Club,Student Activity Group (SAG),5,46627,34020145600000,,,,,$900,$900
Kerusso Fellowship,Student Activity Group (SAG),2,342064,34020566800000,,,,,SPONSORSHIP ONLY (ABSA),$0
Kidney Disease Screening and Awareness Program,Student Activity Group (SAG),8,135415,34020380800000,,,,,"$2,500","$2,500"
Kink Club,Student Activity Group (SAG),2,137708,34020374400000,,,,,$585,$585
