Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding,Org Category,Years of Sponsorship
Environmental Team,Student Activity Group (SAG),91245,34020504400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),4
Eta Kappa Nu (under ESC),Student Activity Group (SAG),91271,34020467200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),9
EthiCAL Apparel,Student Activity Group (SAG),46624,34020107200000,,,,$650,$650,Student Activity Groups (SAG),3
Faces of African Muslims,Student Activity Group (SAG),165193,34020400000000,,,,"$8,000","$8,000",Student Activity Groups (SAG),7
Fashion and Student Trends,Student Activity Group (SAG),45950,34020108400000,,,,"$8,500","$8,500",Student Activity Groups (SAG),13
Fei Tian Dancers,Student Activity Group (SAG),45951,34020109200000,,,,"$2,000","$2,000",Student Activity Groups (SAG),19
Fiat Lux Scholars Association,Student Activity Group (SAG),91236,34020065600000,,,,$650,$650,Student Activity Groups (SAG),2
Fighting Games at Berkeley,Student Activity Group (SAG),343225,34020528800000,,,,$540,$540,Student Activity Groups (SAG),2
Finance Club at Berkeley (BFC) [Formerly Sales and Trading Club at Berkeley],Student Activity Group (SAG),83003,34020434400000,,,,$500,$500,Student Activity Groups (SAG),2
Financial Education Association of Berkeley,Student Activity Group (SAG),342607,34020518000000,,,,$360,$360,Student Activity Groups (SAG),1
Foresight Pre-Optometry Club,Student Activity Group (SAG),45954,34020111600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),31
Formula Electric at Berkeley (Formerly bLoop),Student Activity Group (SAG),138585,34020300400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),4
Freestyles at Berkeley,Student Activity Group (SAG),91590,34020606400000,,,,$400,$400,Student Activity Groups (SAG),1
Frontera at Berkeley,Student Activity Group (SAG),368347,34020564400000,,,,$500,$500,Student Activity Groups (SAG),1
"Future Business Leaders of America-Phi Beta Lambda, Inc.",Student Activity Group (SAG),45958,34020114400000,,,,"$3,420","$3,420",Student Activity Groups (SAG),19
Game Design and Development at Berkeley,Student Activity Group (SAG),91401,34020430400000,,,,$750,$750,Student Activity Groups (SAG),6
Gamma Epsilon Mu,Student Activity Group (SAG),385418,34020606800000,,,,$500,$500,Student Activity Groups (SAG),1
Garuda Capital,Student Activity Group (SAG),361557,34020607200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
Gender Equity in Mathematics at Berkeley,Student Activity Group (SAG),91772,34020260400000,,,,$800,$800,Student Activity Groups (SAG),10
GENup Collegiate at Berkeley,Student Activity Group (SAG),321245,34020557600000,,,,$500,$500,Student Activity Groups (SAG),1
GeoWall at Berkeley,Student Activity Group (SAG),290340,34020506400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
Girl Up at Berkeley,Student Activity Group (SAG),92014,34020296000000,,,,$650,$650,Student Activity Groups (SAG),3
Glamity at Berkeley,Student Activity Group (SAG),376133,34020607600000,,,,$450,$450,Student Activity Groups (SAG),1
GlamourGals at Berkeley,Student Activity Group (SAG),377198,34020591200000,,,,$500,$500,Student Activity Groups (SAG),1
Haas Finance Group (HFG),Student Activity Group (SAG),378619,34020608000000,,,,$500,$500,Student Activity Groups (SAG),1
Haas Undergraduate Black Business Association,Student Activity Group (SAG),46300,34020121200000,,,,$585,$585,Student Activity Groups (SAG),7
Hackathons at Berkeley (formerly Hack the Bay),Student Activity Group (SAG),123010,34020495600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
Healthcare Business Association at Berkeley,Student Activity Group (SAG),290345,34020464800000,,,,$500,$500,Student Activity Groups (SAG),1
Healthcare Consulting Group at Berkeley,Student Activity Group (SAG),221241,34020431600000,,,,$630,$630,Student Activity Groups (SAG),6
Hermanas Unidas de UC Berkeley,Student Activity Group (SAG),46141,34020124400000,,,,$650,$650,Student Activity Groups (SAG),2
"Hindu YUVA-Youth for Unity, Virtues and Action",Student Activity Group (SAG),91523,34020566000000,,,,$650,$650,Student Activity Groups (SAG),2
Hispanic Engineers and Scientists,Student Activity Group (SAG),46147,34020126000000,,,,$585,$585,Student Activity Groups (SAG),9
Historical Fencing Club of Berkeley,Student Activity Group (SAG),46714,34020420400000,,,,"$2,200","$2,200",Student Activity Groups (SAG),6
Hong Kong Student Association,Student Activity Group (SAG),45965,34020127200000,,,,"$1,800","$1,800",Student Activity Groups (SAG),30
HOSA Future Health Professionals of Berkeley,Student Activity Group (SAG),290346,34020608400000,,,,$500,$500,Student Activity Groups (SAG),1
iGEM at Berkeley,Student Activity Group (SAG),235895,34020432000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),6
Indian Students Association,Student Activity Group (SAG),45966,34020130400000,,,,"$9,600","$9,600",Student Activity Groups (SAG),21
Institute of Industrial and Systems Engineers,Student Activity Group (SAG),91280,34020293600000,,,,$500,$500,Student Activity Groups (SAG),1
"Intermission Orchestra, The",Student Activity Group (SAG),91332,34020385600000,,,,"$2,250","$2,250",Student Activity Groups (SAG),6
International Consulting Club at Berkeley,Student Activity Group (SAG),289736,34020538000000,,,,$650,$650,Student Activity Groups (SAG),3
International Healthcare Association,Student Activity Group (SAG),325447,34020494000000,,,,$650,$650,Student Activity Groups (SAG),5
InterVarsity Christian Fellowship,Student Activity Group (SAG),45974,34020137600000,,,,"$5,850","$5,850",Student Activity Groups (SAG),26
Invention Corps of Berkeley,Student Activity Group (SAG),164469,34020360000000,,,,"$1,500","$1,500",Student Activity Groups (SAG),5
Iranian Students Cultural Organization,Student Activity Group (SAG),45976,34020139200000,,,,"$14,000","$14,000",Student Activity Groups (SAG),26
Jakara Movement Club,Student Activity Group (SAG),144722,34020326000000,,,,$500,$500,Student Activity Groups (SAG),7
Jewish Voice for Peace at Berkeley,Student Activity Group (SAG),221473,34020430800000,,,,$225,$225,Student Activity Groups (SAG),1
JFashion at Berkeley,Student Activity Group (SAG),385044,34020608800000,,,,$350,$350,Student Activity Groups (SAG),1
